V 0.0.0.1 - VARIABLES,COMMENTS,en,fr,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__Z,This variable stores the returned message if an argument value is empty,THE %s FUNCTION %s PARAMETER HAS NO VALUE,FONCTION %s : LE PARAMÈTRE %s N'A AUCUNE VALEUR,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__ALPHACHAR,This variable stores the returned message if the argument's value is not an alphabetic character,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT AN ALPHABETIC CHARACTER,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN CARACTÈRE ALPHABÉTIQUE,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__ALPHASTR,This variable stores the returned message if the argument's value is not an alphabetic string,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT AN ALPHABETIC STRING,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UNE CHAÎNE DE CARACTÈRES ALPHABÉTIQUE,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__ALPHASTRCHAR,This variable stores the returned message if the argument's value is not an alphabetic string OR character,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT AN ALPHABETIC STRING OR CHARACTER,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN CARACTÈRE OU UNE CHAÎNE DE CARACTÈRES ALPHABÉTIQUE,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__ALPHANUMCHAR,This variable stores the returned message if the argument's value is not an alphanumeric character,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT AN ALPHANUMERIC CHARACTER,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN CARACTÈRE ALPHANUMÉRIQUE,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__ALPHANUMSTR,This variable stores the returned message if the argument's value is not an alphanumeric string,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT AN ALPHANUMERIC STRING,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UNE CHAÎNE DE CARACTÈRES ALPHANUMÉRIQUE,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__ALPHANUMSTRCHAR,This variable stores the returned message if the argument's value is not an alphanumeric string OR character,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT AN ALPHANUMERIC STRING OR CHARACTER,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN CARACTÈRE OU UNE CHAÎNE DE CARACTÈRES ALPHANUMÉRIQUE,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__CMDSTR,This variable stores the returned message if the argument's value is not a command name,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT A COMMAND OR EXECUTABLE FILE NAME,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UNE COMMANDE OU UN NOM DE FICHIER EXÉCUTABLE,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__D,This variable stores the returned message if the argument's value is not a valid directory path,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT A VALID DIRECTORY PATH,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN CHEMIN DE DOSSIER VALIDE,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__DF,This variable stores the returned message if the argument's value is not a valid directory OR file path,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT A VALID DIRECTORY OR FILE PATH,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN CHEMIN DE DOSSIER OU DE FICHIER VALIDE,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__F,This variable stores the returned message if the argument's value is not a valid file path,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT A VALID FILE PATH,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN CHEMIN DE FICHIER VALIDE,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__FLOAT,This variable stores the returned message if the argument's value is not a floating number,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT A FLOAT,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN NOMBRE DÉCIMAL,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__FLOATNEG,This variable stores the returned message if the argument's value is not a negative floating number,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT A NEGATIVE FLOAT,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN NOMBRE DÉCIMAL NÉGATIF,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__FLOATPOS,This variable stores the returned message if the argument's value is not a positive floating number,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT A POSITIVE FLOAT,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN NOMBRE DÉCIMAL POSITIF,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__INT,This variable stores the returned message if the argument's value is not an integer,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT AN INTEGER,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN NOMBRE ENTIER,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__INTNEG,This variable stores the returned message if the argument's value is not a negative integer,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT A NEGATIVE INTEGER,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN NOMBRE ENTIER NÉGATIF,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_BAD_OPTION__INTPOS,This variable stores the returned message if the argument's value is not a positive integer,THE %s FUNCTION %s PARAMETER'S VALUE IS NOT A POSITIVE INTEGER,FONCTION %s : LE PARAMÈTRE %s N'EST PAS UN NOMBRE ENTIER POSITIF,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FUNC_ARGS_ARRAY_VALUES__VALUE_STORED,This variable stores the string tthat precedes the whole list of values stored in the array to process,Values stored in the %s function's array of arguments :,Valeurs enregistrées dans le tableau d'arguments de la fonction %s :,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FUNC_ARGS_ARRAY_VALUES__VALUE,This variable stores the string that precedes the value stored in the currently processed array's index,Value,Valeur,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FILE_NAME__MISSING_VAL_STR,This variable stores the message indicating that the path of the file to be obtained was not found,« no file identified »,« aucun fichier identifié »,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FUNCTION_NAME__MISSING_VAL_STR,This variable stores the message indicating that the function to be obtained was not found,« no functiion identified »	,« aucune fonction identifiée »,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_LINE_NUMBER__MISSING_VAL_STR,This variable stores the message indicating that the line number to be obtained was not found,« no line identified »,« aucune ligne identifiée »,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
__BU_MAIN_ARGS_LIB__MSG__GET_FFL__,This variable stores the message that ,,,,,
,,,,,,
__BU_MAIN_ARGS_LIB__MSG__PRINT_FFL__MSG,"This variable stores the message that gives the file, the function and the line where something happened","%s file, function %s, line %s","fichier %s, fonction %s, ligne %s",,,
,,,,,,
